ano;mes;grupo;uf;servico;taxa_resolvidas_5_dias
2019;3;Taxa de Reabertas;EMBRATEL;STF;6.02
2019;3;Taxa de Reabertas;OI;STF;8.49
2019;3;Taxa de Reabertas;SERCOMTEL;STF;9.76
2019;3;Taxa de Reabertas;TIM;STF;14.57
2019;3;Taxa de Reabertas;VIVO;STF;6.14
2019;3;Taxa de Respondidas em 5 dias Úteis;ALGAR;STF;89.13
2019;3;Taxa de Respondidas em 5 dias Úteis;EMBRATEL;STF;86.54
2019;3;Taxa de Respondidas em 5 dias Úteis;OI;STF;85.53
2019;3;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;STF;46.51
2019;3;Taxa de Respondidas em 5 dias Úteis;TIM;STF;72.45
2019;3;Taxa de Respondidas em 5 dias Úteis;VIVO;STF;86.28
2019;3;Taxa de Respondidas no Período;ALGAR;STF;100.0
2019;3;Taxa de Respondidas no Período;EMBRATEL;STF;98.98
2019;3;Taxa de Respondidas no Período;OI;STF;99.93
2019;3;Taxa de Respondidas no Período;SERCOMTEL;STF;97.94
2019;3;Taxa de Respondidas no Período;TIM;STF;99.82
2019;3;Taxa de Respondidas no Período;VIVO;STF;99.64
2019;4;Indicador de Desempenho no Atendimento (IDA);ALGAR;STF;100.0
2019;4;Indicador de Desempenho no Atendimento (IDA);EMBRATEL;STF;92.44
2019;4;Indicador de Desempenho no Atendimento (IDA);OI;STF;39.15
2019;4;Indicador de Desempenho no Atendimento (IDA);SERCOMTEL;STF;81.97
2019;4;Indicador de Desempenho no Atendimento (IDA);TIM;STF;27.58
2019;4;Indicador de Desempenho no Atendimento (IDA);VIVO;STF;66.61
2019;4;Índice de Reclamações;ALGAR;STF;0.36
2019;4;Índice de Reclamações;EMBRATEL;STF;0.63
2019;4;Índice de Reclamações;OI;STF;2.35
2019;4;Índice de Reclamações;SERCOMTEL;STF;0.15
2019;4;Índice de Reclamações;TIM;STF;2.36
2019;4;Índice de Reclamações;VIVO;STF;1.56
2019;4;Quantidade de acessos em serviço;ALGAR;STF;1177006.0
2019;4;Quantidade de acessos em serviço;EMBRATEL;STF;10123726.0
2019;4;Quantidade de acessos em serviço;OI;STF;11357436.0
2019;4;Quantidade de acessos em serviço;SERCOMTEL;STF;239546.0
2019;4;Quantidade de acessos em serviço;TIM;STF;946285.0
2019;4;Quantidade de acessos em serviço;VIVO;STF;12289771.0
2019;4;Quantidade de reabertas;ALGAR;STF;24.0
2019;4;Quantidade de reabertas;EMBRATEL;STF;331.0
2019;4;Quantidade de reabertas;OI;STF;2308.0
2019;4;Quantidade de reabertas;SERCOMTEL;STF;6.0
2019;4;Quantidade de reabertas;TIM;STF;307.0
2019;4;Quantidade de reabertas;VIVO;STF;1182.0
2019;4;Quantidade de reclamações;ALGAR;STF;423.0
2019;4;Quantidade de reclamações;EMBRATEL;STF;6399.0
2019;4;Quantidade de reclamações;OI;STF;26725.0
2019;4;Quantidade de reclamações;SERCOMTEL;STF;35.0
2019;4;Quantidade de reclamações;TIM;STF;2235.0
2019;4;Quantidade de reclamações;VIVO;STF;19198.0
2019;4;Quantidade de Reclamações no Período;ALGAR;STF;1490.0
2019;4;Quantidade de Reclamações no Período;EMBRATEL;STF;22993.0
2019;4;Quantidade de Reclamações no Período;OI;STF;80046.0
2019;4;Quantidade de Reclamações no Período;SERCOMTEL;STF;172.0
2019;4;Quantidade de Reclamações no Período;TIM;STF;6848.0
2019;4;Quantidade de Reclamações no Período;VIVO;STF;59114.0
2019;4;Quantidade de Respondidas;ALGAR;STF;423.0
2019;4;Quantidade de Respondidas;EMBRATEL;STF;5985.0
2019;4;Quantidade de Respondidas;OI;STF;26307.0
2019;4;Quantidade de Respondidas;SERCOMTEL;STF;33.0
2019;4;Quantidade de Respondidas;TIM;STF;2226.0
2019;4;Quantidade de Respondidas;VIVO;STF;19193.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;STF;371.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;EMBRATEL;STF;5614.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;OI;STF;22850.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;STF;28.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;TIM;STF;1686.0
2019;4;Quantidade de Sol. Respondidas em até 5 dias;VIVO;STF;16471.0
2019;4;Quantidade de Sol. Respondidas no Período;ALGAR;STF;1490.0
2019;4;Quantidade de Sol. Respondidas no Período;EMBRATEL;STF;22991.0
2019;4;Quantidade de Sol. Respondidas no Período;OI;STF;80009.0
2019;4;Quantidade de Sol. Respondidas no Período;SERCOMTEL;STF;172.0
2019;4;Quantidade de Sol. Respondidas no Período;TIM;STF;6847.0
2019;4;Quantidade de Sol. Respondidas no Período;VIVO;STF;58843.0
2019;4;Taxa de Reabertas;ALGAR;STF;5.67
2019;4;Taxa de Reabertas;EMBRATEL;STF;5.53
2019;4;Taxa de Reabertas;OI;STF;8.77
2019;4;Taxa de Reabertas;SERCOMTEL;STF;18.18
2019;4;Taxa de Reabertas;TIM;STF;13.79
2019;4;Taxa de Reabertas;VIVO;STF;6.16
2019;4;Taxa de Respondidas em 5 dias Úteis;ALGAR;STF;87.71
2019;4;Taxa de Respondidas em 5 dias Úteis;EMBRATEL;STF;87.73
2019;4;Taxa de Respondidas em 5 dias Úteis;OI;STF;85.5
2019;4;Taxa de Respondidas em 5 dias Úteis;SERCOMTEL;STF;80.0
2019;4;Taxa de Respondidas em 5 dias Úteis;TIM;STF;75.44
2019;4;Taxa de Respondidas em 5 dias Úteis;VIVO;STF;85.8
2019;4;Taxa de Respondidas no Período;ALGAR;STF;100.0
2019;4;Taxa de Respondidas no Período;EMBRATEL;STF;99.99
2019;4;Taxa de Respondidas no Período;OI;STF;99.95
2019;4;Taxa de Respondidas no Período;SERCOMTEL;STF;100.0
2019;4;Taxa de Respondidas no Período;TIM;STF;99.98
2019;4;Taxa de Respondidas no Período;VIVO;STF;99.54
